"Identificador";"nombre";"descripcion";"imagen";"fecha";"localizacion";"linklocalizacion";"lider";"minparticipantes";"participantesactuales"
"1";"Incursión Playa de Marenys de Rafalcaid ";"Esta es la descripción para la Incursión a la Playa de Marenys de Rafalcaid.";"playacontaminada .jpeg";"2023-05-22 11:00:00";"Playa de Marenys de Rafalcaid
Carrer de Rafalcaid, 46730 Gandia, Valencia";"https://goo.gl/maps/EBVrgEVYczpMGhkW6";"joanbt";"10";"1"
"2";"Incursión El Portalet";"Esta es la descripción para la Incursión a el Portalet.";"montañacontaminada.jpg";"2023-06-08 09:00:00";"El Portalet (SL-CV80)
46728 Gandia, Valencia";"https://goo.gl/maps/2suVziycb9tPbGrZ7";"joanbt";"15";"4"
"3";"Incursión Mirador de las Aves";"Esta es la descripción para la Incursión a el Mirador de las Aves.";"montañacontaminada4.jpg";"2023-05-24 17:00:00";"Mirador de las Aves
Plaça Poligono 07, 2, 46770, Valencia";"https://goo.gl/maps/pRA2EV4DhtdfxHv26";"victoriacm";"8";"3"
"4";"Incursión Fuente del Mondúver";"Esta es la descripción para la Incursión a la Fuente del Mondúver.";"montañacontaminada3.jpg";"2023-06-02 10:00:00";"Fuente del Mondúver
46790 Xeresa, Valencia";"https://goo.gl/maps/dXQEZt4PDqUuFwCu8";"adriandb";"6";"3"
"5";"Incursión Torradores Marxuquera";"Esta es la descripción para la Incursión a los Torradores de Marxuquera.";"montañacontaminada2.jpg";"2023-05-28 18:00:00";"Torradores Marxuquera
Carrer Cami Vell de Pinet, 43, 46728 Gandia, Valencia";"https://goo.gl/maps/1SGYYAeoNGXjAjUF7";"joanbt";"10";"4"
"Identificador";"id_incursion";"id_usuario";"cargo"
"1";"1";"1";"líder"
"2";"2";"1";"líder"
"3";"2";"2";"incursionista"
"4";"2";"5";"incursionista"
"5";"2";"8";"incursionista"
"6";"3";"3";"líder"
"7";"3";"2";"incursionista"
"8";"3";"7";"incursionista"
"9";"4";"2";"líder"
"10";"4";"4";"incursionista"
"11";"4";"6";"incursionista"
"12";"5";"1";"líder"
"13";"5";"3";"incursionista"
"14";"5";"7";"incursionista"
"15";"5";"8";"incursionista"
"Identificador";"nombre";"apellidos";"email";"usuario";"contrasena";"incursionescompletadas"
"1";"Joan";"Bañuls Torres";"joanbanyulstorres@gmail.com";"joanbt";"joanbt";"3"
"2";"Adrian";"Dos Santos Baeza";"adriandossantosbaeza@gmail.com";"adriandb";"adriandb";"2"
"3";"Victoria";"Cuadros Mansilla";"victoriacuadrosmansilla@gmail.com";"victoriacm";"victoriacm";"5"
"4";"Lucia";"Ruz Real";"luciaruzreal@gmail.com";"luciarr";"luciarr";"1"
"5";"Noelia";"Vasquez Villalba";"noeliavasquezvillalba@gmail.com";"noeliavv";"noeliavv";"0"
"6";"Guillermo";"Georgieva Palencia";"guillermogeorgievapalencia@gmail.com";"guillermogp";"guillermogp";"0"
"7";"Antonio";"Jara Zabaleta";"antoniojarazabaleta@gmail.com";"antoniojz";"antoniojz";"0"
"8";"Natalia";"Galisteo Hernan";"nataliagalisteohernan@gmail.com";"nataliagh";"nataliagh";"0"
